benchmark,run,result
redundant,baseline,6
redundant,tdce,6
redundant,lvn,5
nonlocal-clobber,baseline,missing
nonlocal-clobber,tdce,missing
nonlocal-clobber,lvn,missing
clobber,baseline,10
clobber,tdce,5
clobber,lvn,5
idchain-nonlocal,baseline,missing
idchain-nonlocal,tdce,missing
idchain-nonlocal,lvn,missing
fold-comparisons,baseline,missing
fold-comparisons,tdce,missing
fold-comparisons,lvn,missing
rename-fold,baseline,7
rename-fold,tdce,7
rename-fold,lvn,7
clobber-arg,baseline,3
clobber-arg,tdce,3
clobber-arg,lvn,3
divide-by-zero,baseline,missing
divide-by-zero,tdce,missing
divide-by-zero,lvn,missing
redundant-dce,baseline,6
redundant-dce,tdce,6
redundant-dce,lvn,5
clobber-fold,baseline,10
clobber-fold,tdce,5
clobber-fold,lvn,5
idchain-prop,baseline,missing
idchain-prop,tdce,missing
idchain-prop,lvn,missing
commute,baseline,missing
commute,tdce,missing
commute,lvn,missing
idchain,baseline,5
idchain,tdce,5
idchain,lvn,5
logical-operators,baseline,missing
logical-operators,tdce,missing
logical-operators,lvn,missing
reassign,baseline,3
reassign,tdce,3
reassign,lvn,3
nonlocal,baseline,7
nonlocal,tdce,7
nonlocal,lvn,7
