benchmark,run,result
sieve,baseline,3482
sieve,tdce,3455
vsmul,baseline,86036
vsmul,tdce,86036
quicksort,baseline,264
quicksort,tdce,264
max-subarray,baseline,193
max-subarray,tdce,193
mat-mul,baseline,1990407
mat-mul,tdce,1990407
fib,baseline,121
fib,tdce,121
eight-queens,baseline,1006454
eight-queens,tdce,959702
primitive-root,baseline,11029
primitive-root,tdce,11024
two-sum,baseline,98
two-sum,tdce,88
adler32,baseline,6851
adler32,tdce,6851
binary-search,baseline,78
binary-search,tdce,75
adj2csr,baseline,56629
adj2csr,tdce,56629
bubblesort,baseline,253
bubblesort,tdce,253
riemann,baseline,298
riemann,tdce,298
euler,baseline,1908
euler,tdce,1907
cordic,baseline,517
cordic,tdce,516
mandelbrot,baseline,2720947
mandelbrot,tdce,2720813
ray-sphere-intersection,baseline,142
ray-sphere-intersection,tdce,142
sqrt,baseline,322
sqrt,tdce,321
conjugate-gradient,baseline,1999
conjugate-gradient,tdce,1999
pow,baseline,36
pow,tdce,34
norm,baseline,505
norm,tdce,505
newton,baseline,217
newton,tdce,217
n_root,baseline,733
n_root,tdce,733
function_call,baseline,timeout
function_call,tdce,timeout
mat-inv,baseline,1044
mat-inv,tdce,1044
cholesky,baseline,3761
cholesky,tdce,3750
gcd,baseline,46
gcd,tdce,46
digital-root,baseline,247
digital-root,tdce,247
dot-product,baseline,88
dot-product,tdce,88
relative-primes,baseline,1923
relative-primes,tdce,1914
loopfact,baseline,116
loopfact,tdce,115
palindrome,baseline,298
palindrome,tdce,298
primes-between,baseline,574100
primes-between,tdce,574100
fizz-buzz,baseline,3652
fizz-buzz,tdce,3552
armstrong,baseline,133
armstrong,tdce,130
collatz,baseline,169
collatz,tdce,169
mod_inv,baseline,558
mod_inv,tdce,555
sum-divisors,baseline,159
sum-divisors,tdce,159
quadratic,baseline,785
quadratic,tdce,783
recfact,baseline,104
recfact,tdce,103
reverse,baseline,46
reverse,tdce,46
pascals-row,baseline,146
pascals-row,tdce,139
catalan,baseline,659378
catalan,tdce,659378
hanoi,baseline,99
hanoi,tdce,99
factors,baseline,72
factors,tdce,72
pythagorean_triple,baseline,61518
pythagorean_triple,tdce,61518
binary-fmt,baseline,100
binary-fmt,tdce,100
ackermann,baseline,1464231
ackermann,tdce,1464231
rectangles-area-difference,baseline,14
rectangles-area-difference,tdce,14
sum-bits,baseline,73
sum-bits,tdce,73
fact,baseline,229
fact,tdce,228
bitwise-ops,baseline,1690
bitwise-ops,tdce,1689
totient,baseline,253
totient,tdce,253
orders,baseline,5352
orders,tdce,5352
euclid,baseline,563
euclid,tdce,562
bitshift,baseline,167
bitshift,tdce,167
sum-sq-diff,baseline,3038
sum-sq-diff,tdce,3036
perfect,baseline,232
perfect,tdce,232
up-arrow,baseline,252
up-arrow,tdce,252
check-primes,baseline,8468
check-primes,tdce,8419
